"","yearsold","mileage","price"
"1045",2,24422,17577
"1046",2,16779,17749
"1047",2,21726,17977
"1048",2,13396,17977
"1049",2,6672,17985
"1050",2,23902,17999
"1051",2,29688,17999
"1052",2,17158,17999
"1053",2,19788,17999
"1054",2,81940,17999
"1055",2,15025,18194
"1056",2,19321,18243
"1057",2,16070,18577
"1058",2,8215,18900
"1059",2,12936,18977
"1060",2,44547,18990
"1061",2,15412,18999
"1062",2,32244,18999
"1063",2,24051,18999
"1064",2,24364,18999
"1065",2,25355,18999
"1066",2,18329,19070
"1067",2,39000,19400
"1068",2,25956,19520
"1069",2,14832,19599
"1070",2,15805,19796
"1071",2,20526,19985
"1072",2,30723,19995
"1073",2,19387,19996
"1074",2,34322,19999
"1075",2,39188,19999
"1076",2,23022,19999
"1077",2,23459,19999
"1078",2,26978,20196
"1079",2,10723,20336
"1080",2,34780,20396
"1081",2,20786,20420
"1082",2,17288,20485
"1083",2,22484,20485
"1084",2,25043,20496
"1085",2,13132,20577
"1086",2,20972,20694
"1087",2,19871,20800
"1088",2,35908,20949
"1089",2,30862,20977
"1090",2,19025,20985
"1091",2,32520,20998
"1092",2,30381,20998
"1093",2,18068,21291
"1094",2,13222,21300
"1095",2,30255,21485
"1096",2,10573,21495
"1097",2,29567,21577
"1098",2,30504,21577
"1099",2,22862,21577
"1100",2,31240,21577
"1101",2,14198,21577
"1102",2,10734,21588
"1103",2,21868,21596
"1104",2,8264,21800
"1105",2,78476,21972
"1106",2,27282,21977
"1107",2,27419,21988
"1108",2,21544,21994
"1109",2,17070,21995
"1110",2,91293,22000
"1111",2,25797,22444
"1112",2,18627,22495
"1113",2,18226,22495
"1114",2,23947,22500
"1115",2,19884,22500
"1116",2,14452,22577
"1117",2,6034,22752
"1118",2,18702,22800
"1119",2,19334,22877
"1120",2,23440,22900
"1121",2,13965,22995
"1122",2,17938,22998
"1123",2,22594,23999
"1124",2,15232,23999
"1125",2,26620,23999
"1126",2,13972,23999
"1127",2,19578,23999
"1128",2,51677,24290
"1129",2,13409,24396
"1130",2,73847,24495
"1131",2,22457,24500
"1132",2,30618,24815
"1133",2,29236,24975
"1134",2,23982,24977
"1135",2,12838,24990
"1136",2,35265,24995
"1137",2,14948,24999
"1138",2,44722,24999
"1139",2,18444,24999
"1140",2,22088,24999
"1141",2,11438,24999
"1142",2,24204,24999
"1143",2,35340,25160
"1144",2,29802,25729
"1145",2,4871,25995
"1146",2,23882,25998
"1147",2,8348,26577
"1148",2,42711,26778
"1149",2,27041,26977
"1150",2,49226,26995
"1151",2,68050,27495
"1152",2,41331,27888
"1153",2,23735,27977
"1154",2,30383,27988
"1155",2,50516,28296
"1156",2,10783,28500
"1157",2,32620,29000
"1158",2,35799,29112
"1159",2,64742,29654
"1160",2,725,29985
"1161",2,10025,29985
"1162",2,7,29985
"1163",2,19133,30362
"1164",2,15,30985
"1165",2,36082,30999
"1166",2,59426,31208
"1167",2,15545,31524
"1168",2,54705,31696
"1169",2,16113,31799
"1170",2,81,31900
"1171",2,24316,32977
"1172",2,28289,32985
"1173",2,21000,32985
"1174",2,15934,33395
"1175",2,44112,33485
"1176",2,25514,33485
"1177",2,19246,33900
"1178",2,40030,33977
"1179",2,46902,33985
"1180",2,33088,33996
"1181",2,17294,33996
"1182",2,56,34977
"1183",2,64,34977
"1184",2,108,34977
"1185",2,19868,34985
"1186",2,22403,35796
"1187",2,30340,35985
"1188",2,28599,35988
"1189",2,34612,35999
"1190",2,14126,35999
"1191",2,9214,36000
"1192",2,54246,36385
"1193",2,24162,37191
"1194",2,47044,38032
"1195",2,17916,39485
"1196",2,16247,39998
"1197",2,55236,39999
"1198",2,17376,40987
"1199",2,39655,41999
"1200",2,20889,42496
"1201",2,43721,43985
"1202",2,11915,16999
"1203",2,17889,32000
"1300",17,179498,2991
"1301",17,176230,3996
"1302",17,222450,2495
"1303",17,199998,2495
"1304",17,21236,23998
"1305",16,165000,1995
"1306",16,228664,2495
"1307",16,184870,2999
"1308",16,113000,3999
"1309",16,162000,4000
"1310",15,213603,2275
"1311",15,142739,3999
"1312",14,154677,4999
"1313",14,46603,20998
"1314",14,181078,2995
"1315",14,193010,4495
"1316",14,129690,4495
"1317",14,174396,4699
"1318",14,173750,4998
"1319",14,121724,4999
"1320",14,181096,6000
"1321",14,195934,4390
"1322",13,240900,2990
"1323",13,150988,4555
"1324",13,146494,4995
"1325",13,163085,4999
"1326",13,119431,5994
"1327",13,150264,7000
"1328",13,38267,8988
"1329",13,160797,3788
"1330",13,301512,3990
"1331",13,207695,3995
"1332",13,158669,4395
"1333",13,184353,4599
"1334",13,141000,4999
"1335",13,149184,5700
"1336",13,138382,6998
"1337",13,110401,7999
"1338",12,170191,4990
"1339",12,163941,4995
"1340",12,147329,5288
"1341",12,178125,5816
"1342",12,199000,3300
"1343",12,179512,4495
